NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Year 2013                                                                                                                                                                                                                                                                                                                                                                                                           ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI) [2],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [3],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [4],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employment retirement plans,,Self-employment health insurance deduction,,IRA payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Income tax before credits,,Alternative minimum tax,,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contribution credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total tax payments,,Earned income credit [5],,Excess earned income credit (refundable) [6],,Additional child tax credit,,Refundable education credit,,Income tax [7],,Total tax liability [8],,Additional Medicare tax,,Net investment income tax,,Tax due at time of filing [9],,Overpayments refunded [10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,NEW JERSEY,"4,326,590","2,039,770","1,566,550","638,620","2,800,640","8,345,920","2,795,070","335,470,327","4,316,260","340,774,415","3,596,120","246,089,021","1,513,080","3,374,323","1,091,890","7,352,003","1,015,510","5,285,067","889,900","1,385,929","627,020","12,125,601","902,470","12,603,957","420,220","7,309,846","793,540","19,179,794","9,220","391,980","3,249,976","578,440","8,934,764","275,910","19,135,575","1,094,870","5,304,089","153,660","39,519","43,100","1,087,977","105,340","1,034,391","83,700","447,567","323,060","356,802","55,690","141,478","11,050","217,628","1,797,240","54,125,460","263,731,375","1,483,960","15,208,778","273,400","264,135","1,573,200","14,068,438","1,791,370","29,880,380","1,276,360","11,993,804","1,524,600","5,485,225","3,378,760","242,767,572","3,345,410","53,076,580","255,610","1,635,381","1,333,950","1,870,873","279,490","493,098","223,080","130,602","319,260","381,424","126,810","22,109","595,350","690,681","100,850","37,728","533,990","2,051,182","4,080,310","62,015,438","630,050","1,415,055","541,580","1,213,789","455,660","578,897","313,920","297,032","3,061,790","51,416,343","3,283,660","54,398,280","163,870","363,808","149,390","545,858","796,440","4,684,454","3,272,540","10,607,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,Under $1,57230,36570,15880,2930,42180,80980,17150,-5638388,46900,-5526956,16140,547164,21710,100040,19740,121389,18190,74834,2070,7109,15550,-149655,25780,170434,4750,77012,6640,87220,640,1370,12239,100,967,11490,-1036912,12950,111433,250,62,110,1170,3090,24580,350,1927,2320,3099,2270,8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,3121,240,3105,160,208,0,0,0,0,30,23,20,18,80,78,0,0,7500,21204,26080,175473,5610,6957,3770,4581,2990,4733,4190,4197,220,2734,8900,28938,390,705,0,0,4710,10107,21280,126235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$1 under $10,000",639720,536730,39900,55930,373930,530450,115260,3229052,639720,3346327,470560,2399942,114370,63438,87810,105691,80130,66299,5070,2910,87560,413143,72990,13097,26620,97554,53060,236899,450,25550,117819,1530,6722,8390,-13091,102070,117273,1070,228,170,566,4730,23398,1240,4177,13170,14293,8860,28582,150,31,39120,650674,209631,7590,14127,24410,10669,31020,215586,37480,244233,16130,103457,21600,20590,92240,172483,79420,16947,30,62,6300,517,5050,176,0,0,860,294,20,3,0,0,0,0,79550,65392,527070,458087,165980,188710,142150,157750,53630,36863,29750,26419,78100,16424,161070,84281,0,0,0,0,67120,31469,489400,401197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$10,000 under $25,000",845900,503730,118150,210430,539900,1401800,498900,14430964,845900,14699626,664980,10549665,149260,135858,93440,209806,84140,131322,20100,9549,118830,1196793,70330,67799,57680,382336,119350,1229702,680,104820,752239,61860,116378,16400,45611,168430,268662,6550,1502,560,3317,9040,51517,5310,18040,46200,50418,5590,14830,260,138,105740,1737900,1886791,35560,41061,60120,34681,81890,537031,104010,625119,47540,300268,71330,101954,552220,3534484,541840,372016,310,398,165680,64605,8940,621,11690,4122,60060,36404,38400,6435,51550,16211,2090,454,107970,193556,785680,2318962,288490,899633,257420,790218,230680,300395,66480,58150,426120,307414,510480,507277,40,11,0,0,78710,86901,729880,1890349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000,"$25,000 under $50,000",887790,468520,198880,196870,559580,1632880,552350,32316738,887790,32814211,761890,25697407,215790,207806,132690,364449,120560,238540,93410,42848,95040,1135290,100720,134574,73520,709526,150590,2426872,1170,92160,875985,141370,1015751,27900,195514,206350,497476,20490,4922,1760,16324,14500,100935,16310,67923,98000,118284,6800,17068,560,905,242870,4171156,9248840,155190,214520,78810,63881,186360,1212120,241510,1528361,137740,918374,185150,345960,846040,16898748,839320,2090035,310,1072,333870,308503,24030,3130,47270,29691,88310,96345,74730,13343,178120,161296,12260,3558,76230,208724,863000,3811902,169260,319640,137690,261154,142540,202033,67930,61817,700930,1781530,736010,2008312,150,138,0,0,117140,196742,752200,1971113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
