NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Year 2014                                                                                                                                                                                                                                                                                                                                                                                                           ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Number of volunteer prepared returns [2],,,Adjusted gross income (AGI) [3],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [4],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [5],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employment retirement plans,,Self-employment health insurance deduction,,IRA payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Income tax before credits,,Alternative minimum tax,,Excess advance premium tax credit repayment,,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contribution credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,Health care individual responsibility payment,,Total tax payments,,Earned income credit [6],,Excess earned income credit (refundable) [7],,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax [8],,Total tax liability [9],,Additional Medicare tax,,Net investment income tax,,Tax due at time of filing [10],,Overpayments refunded [11],,
,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),
000,NEW JERSEY,"4,342,400","2,060,790","1,567,250","631,700","2,793,450","8,319,400","2,752,830","72,450","31,100","41,350","353,233,541","4,331,050","358,688,520","3,611,400","254,803,321","1,444,290","3,072,544","1,089,290","8,492,838","1,022,610","6,256,140","893,770","1,557,473","642,990","12,526,593","910,750","18,977,306","431,190","8,077,768","802,540","20,086,890","9,220","292,900","1,846,056","595,530","9,558,481","276,990","20,307,050","1,116,440","5,454,979","151,600","39,082","43,700","1,138,080","106,530","1,046,189","83,850","453,227","341,230","391,738","52,120","132,427","10,840","228,798","1,785,640","54,258,890","277,718,979","1,489,850","15,566,064","259,320","249,736","1,558,920","14,446,242","1,780,470","30,594,643","1,252,630","11,459,440","1,516,820","5,812,584","3,405,440","259,085,292","3,374,650","56,946,604","267,320","1,690,247","37,490","38,774","1,322,430","1,864,763","295,680","507,185","223,620","131,192","309,370","369,252","139,230","24,286","572,220","663,884","86,750","38,444","547,910","2,129,568","62,900","253,591","70,460","279,007","221,130","51,137","4,099,330","65,733,094","633,900","1,443,919","539,340","1,226,228","445,770","570,369","304,560","287,838","29,410","23,036","3,102,140","55,340,340","3,374,440","58,596,595","176,460","401,903","166,630","684,438","845,150","5,211,110","3,247,610","10,624,767",
000,Under $1,54290,34180,15410,2840,38830,78940,16000,520,270,250,-5420552,42940,-5349095,14990,517881,18920,82931,16630,122384,15420,84313,2190,5650,15220,-154244,21890,265918,4530,73898,6310,82235,620,820,5417,100,812,10720,-1018936,12490,71457,210,55,90,1411,2700,20721,320,1805,2390,3177,2460,9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,3131,170,2959,280,96,180,163,0,0,0,0,40,44,20,16,110,116,0,0,6990,20132,1800,10554,1900,9262,790,113,25440,164554,5330,6563,3660,4387,2780,4425,4050,4046,1530,1863,400,2796,9060,28895,350,612,0,0,4720,9111,21030,111995,
000,"$1 under $10,000",631670,529650,39690,55360,365960,523540,113440,19520,9060,10450,3200268,631670,3313119,466670,2408296,102750,51432,83930,99193,77470,64418,5620,3226,90050,422604,69970,37869,25730,96314,52180,234067,410,16810,62784,1510,6524,8150,-12673,103670,112851,1130,248,160,563,4440,18997,1160,3886,13200,14313,9010,28884,130,25,36240,599154,194479,6760,10060,23010,10221,29170,210836,34750,234245,15170,95308,19920,18154,92640,176060,80350,17548,30,64,1420,537,7100,603,5570,175,0,0,1010,351,80,15,100,34,0,0,81710,67246,5650,26368,5820,24520,8250,838,520580,458971,169730,191579,144630,159922,53730,37073,28640,25430,4100,3169,78790,16939,168500,87275,0,0,0,0,70690,33447,481870,400626,
000,"$10,000 under $25,000",833450,504410,115610,200340,521870,1363860,481140,24590,10970,13620,14213122,833450,14477985,659670,10626970,136160,112926,90110,205025,82170,130812,21160,10804,124060,1265037,69700,114323,55680,384050,115830,1206288,690,72590,381391,62310,118784,15930,45668,171560,264863,6200,1414,530,3247,9160,44434,5290,18282,45850,50578,5250,14015,210,143,98720,1619036,1763193,34010,34477,55710,31583,76930,525766,97200,603424,44550,269503,66270,96363,538460,3485068,530080,368369,220,257,8790,3165,157280,61634,9140,574,10950,3809,58290,35718,40070,6709,43950,14082,1780,416,113020,203594,23040,89284,23010,85769,93710,10103,774760,2301554,286390,907285,251670,788539,222940,295205,65950,57942,13180,8759,423400,306745,536540,527378,30,13,0,0,81570,91673,716050,1856611,
000,"$25,000 under $50,000",884570,472810,193410,195090,551940,1610670,540040,17720,7810,9920,32214269,884570,32706468,760780,25919975,199690,174120,127810,359743,117430,240219,89460,41550,96370,1157240,98030,212739,71630,721909,146830,2400871,1030,69270,483034,138990,1014397,26720,196935,208170,492199,19670,4725,1670,15093,14520,92229,16250,67572,101260,125531,5880,14693,420,670,229100,3949754,8736173,148970,201059,72230,59013,174140,1176940,227980,1472074,126610,812832,174530,333642,842920,16827023,836380,2082886,270,877,16920,12243,329970,301902,22560,2103,46720,28924,86410,94645,80080,14328,174450,157108,10290,3624,77360,213018,25460,99252,27180,107748,79720,16141,859360,3810397,171270,338205,138550,273187,140920,198829,66290,60446,8750,7294,700290,1780986,749230,2028192,60,56,0,0,121230,205003,745920,1958308,
