NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Year 2017                                                                                                                                                                                                                                                                                                                                               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,Number of exemptions,Number of dependent exemptions,Number of volunteer prepared returns [2],,,,Number of refund anticipation check returns [3],Number of elderly returns [4],Adjusted gross income (AGI) [5],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [6],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [7],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employed (Keogh) retirement plans,,Self-employed health insurance deduction,,Individual retirement arrangement payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,"Total medical and dental 
expenses deduction",,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Personal property taxes,,Total taxes paid,,Home mortgage interest paid ,,"Home mortgage interest paid 
to personal seller",,Deductible points,,Qualified mortgage insurance premiums,,Investment interest paid,,Total charitable contributions,,Net limited miscellaneous deduction,,"Gambling loss deduction 
and other non-limited 
miscellaneous deduction",,Taxable income,,Income tax before credits,,Alternative minimum tax,,"Excess advance 
premium tax credit repayment",,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contributions credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,"Health care individual 
responsibility payment",,Total tax payments,,Earned income credit [8],,"Excess earned income credit 
(refundable) [9]",,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax [10],,Total tax liability [11],,Total additional Medicare tax,,Net investment income tax,,Tax due at time of filing [12],,Total overpayments,,Overpayments refunded [13],,Credited to next year's estimated tax,,
,,,,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144),(145),(146),(147),(148),(149),
000,NEW JERSEY,"4,437,700","2,148,900","1,576,270","621,430","3,934,160","295,710","2,833,660","2,529,270","8,335,840","2,668,910","71,390","30,640","40,760","8,000","503,410","1,090,560","393,532,332","4,427,070","399,448,273","3,696,130","279,903,378","1,404,840","3,535,136","1,083,000","9,096,147","1,016,980","7,047,079","898,090","1,831,694","704,460","13,885,926","919,170","22,443,211","459,110","9,307,184","798,410","21,732,590","8,820","223,040","1,470,324","632,520","10,907,424","277,810","24,603,865","1,150,440","5,915,941","149,580","38,835","45,720","1,273,043","107,370","1,138,512","81,500","448,535","352,940","409,396","34,590","87,944","11,210","271,593","1,874,420","62,042,635","312,549,993","460,120","4,028,609","1,575,600","18,388,935","262,770","266,749","1,596,130","16,793,879","158,360","135,999","1,869,430","35,823,045","1,270,310","11,261,171","25,400","137,548","50,110","31,918","61,970","102,096","59,730","434,388","1,571,060","7,024,902","563,250","4,198,158","50,670","875,437","3,555,250","290,423,527","3,532,890","64,702,129","315,550","2,162,440","72,210","89,294","1,302,060","1,889,493","320,760","558,290","234,600","140,133","273,830","327,763","158,450","27,752","544,730","623,864","48,540","54,871","581,630","2,360,781","121,520","638,593","141,100","712,962","124,410","102,077","4,204,570","74,165,942","613,480","1,419,128","510,970","1,191,909","401,180","519,945","249,520","235,343","52,400","50,251","3,277,190","62,808,609","3,512,520","66,705,819","216,620","472,319","201,830","725,337","894,710","6,019,153","3,410,570","13,344,000","3,302,130","10,574,161","137,470","2,761,658",
000,Under $1,49060,30720,14330,2350,36670,6930,34640,10700,72070,13380,180,90,90,0,1230,22030,-5587612,38430,-5517848,12410,521421,16720,104395,14250,139370,13180,88362,1900,8630,15170,-172293,18560,331525,4380,73816,5750,73013,630,350,2637,40,261,9970,-1208840,11070,69764,50,11,100,1404,2270,19283,190,1142,2140,2890,1650,5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,5150,110,3643,490,181,90,72,0,0,0,0,0,0,0,0,70,47,0,0,6410,21077,3950,29198,4240,26522,0,0,23050,193138,4360,5041,2840,3293,2080,3393,2470,2488,3000,4243,540,4702,7980,30747,560,983,0,0,4250,10429,20850,172796,18920,117186,2440,51623,
000,"$1 under $10,000",585110,501240,36140,41250,492710,50560,334180,258940,452570,87280,17850,8220,9630,3320,52570,97880,2947096,585110,3038236,434550,2267087,87270,43035,71410,85755,65870,57476,4780,3523,87420,371304,58280,33100,24080,91635,46830,209366,340,8630,34275,1460,6399,7190,-10770,93260,91140,950,211,60,320,3680,14825,1230,4702,11230,11867,5600,18409,100,140,34740,594311,183868,26920,220005,6920,12973,20910,10256,27580,207455,1890,2084,33240,234641,14550,88892,120,685,140,58,920,1661,540,560,18970,19147,11190,23568,520,2337,84510,152725,76390,15656,0,0,2660,941,6320,677,4790,156,0,0,1000,349,0,0,40,26,0,0,77100,60705,11280,66344,11970,63896,410,226,483510,399946,148850,153377,122930,129218,39300,26892,18680,16665,7350,6452,74800,15139,153310,77605,0,0,20,68,67590,34488,449990,356002,446990,350062,3760,5776,
000,"$10,000 under $25,000",797810,500360,104410,180170,705610,53810,486440,518120,1251650,424270,23320,10810,12520,3300,148630,164210,13680030,797810,13930656,630360,10325358,117310,95923,80230,182632,73210,122057,16790,10080,135670,1305579,63650,100272,52060,371897,104860,1098710,630,48960,253985,62980,124228,14730,48611,169360,250626,5420,1260,640,4943,8410,36318,5270,18374,40320,42846,3110,8900,150,172,95130,1599323,1703520,64740,503833,32150,35640,53510,32978,71490,513217,6800,10057,93540,596933,40980,241270,880,4238,1010,435,2980,4963,1200,1249,62540,98764,27180,134987,2180,11428,517710,3397080,512790,361507,210,1378,14350,5229,142100,54135,8420,496,9780,3245,47900,30071,42320,7346,39080,12509,920,264,119870,214111,41580,213724,42610,207199,39940,23242,741260,2214706,275510,874608,237490,752170,196340,260976,50470,44513,22500,17835,419060,307377,515710,546362,70,51,70,191,84150,105523,685750,1768820,680860,1754998,6620,13375,
000,"$25,000 under $50,000",915870,511140,181480,198710,819200,56810,557860,617700,1610840,523470,18940,8660,10270,1380,157210,191680,33427921,915870,33911679,789580,27267092,176200,156580,116650,325780,107250,224970,77630,39302,111730,1252373,92860,206987,69450,722582,138210,2299017,860,53390,368225,137510,1040244,25020,203137,216250,483758,18020,4368,1700,16358,14010,81882,15170,63494,105750,127612,3450,9124,470,845,227850,4055076,8699272,108720,831902,146840,212487,73120,62552,162060,1158564,22950,26487,226850,1477493,115220,706698,2560,11701,3170,3028,12000,19400,2410,3364,170870,358696,85720,610540,4930,27628,871870,17510851,866430,2183025,120,293,33110,25437,327830,293597,22650,2200,47210,29100,78540,87604,94460,16690,171010,153682,5480,3204,85620,232651,49720,246334,54270,268313,51380,34892,889230,3987134,182410,385285,146260,306701,138040,191810,57200,52245,15800,16158,734600,1889433,775550,2165374,140,120,100,589,130180,234315,778770,2045515,769900,2016068,12160,29446,
