NEW JERSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Year 2015                                                                                                                                                                                                                                                                                                                                                                                                           ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Number of volunteer prepared returns [2],,,,Number of refund anticipation loan returns,Number of refund anticipation check returns,Number of elderly returns [3],Adjusted gross income (AGI) [4],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [5],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,"Number of 
farm returns",Unemployment compensation [6],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employment retirement plans,,Self-employment health insurance deduction,,IRA payments,,Student loan interest deduction,,Tuition and fees deduction,,Domestic production activities deduction,,Total itemized deductions,,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Income tax before credits,,Alternative minimum tax,,Excess advance premium tax credit repayment,,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contribution credit,,Child tax credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,Health care individual responsibility payment,,Total tax payments,,Earned income credit [7],,"Excess earned income credit 
(refundable) [8]",,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax [9],,Total tax liability [10],,Additional Medicare tax,,Net investment income tax,,Tax due at time of filing [11],,Overpayments refunded [12],,
,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),
000,NEW JERSEY,"4,385,490","2,097,200","1,570,140","632,870","2,797,300","8,339,240","2,731,600","72,420","28,580","43,830","7,610","4,260","498,780","1,040,500","366,846,810","4,374,030","372,569,399","3,648,290","265,674,401","1,415,900","3,170,091","1,084,680","8,458,380","1,021,880","6,359,674","894,230","1,647,549","664,480","13,123,837","902,320","18,260,931","438,320","8,456,813","802,710","20,653,192","9,150","262,770","1,616,063","608,490","10,058,428","279,710","22,019,671","1,134,990","5,722,589","151,890","39,197","44,770","1,202,314","106,870","1,095,844","82,660","450,431","350,350","406,500","52,060","133,374","11,250","257,937","1,810,820","56,469,739","288,917,207","1,524,940","16,771,929","250,740","237,619","1,567,740","14,879,077","1,806,100","32,239,657","1,255,730","11,311,954","1,533,830","6,050,214","3,453,900","269,875,643","3,427,260","59,710,234","279,670","1,822,753","66,290","69,368","1,320,890","1,884,537","297,090","534,809","226,970","134,473","303,080","364,397","142,990","24,903","563,150","649,578","83,890","42,571","562,510","2,234,702","104,860","444,588","121,230","492,504","188,530","93,308","4,146,510","68,921,918","630,960","1,453,312","531,050","1,227,499","432,370","555,632","295,880","279,961","49,630","41,875","3,159,970","58,064,590","3,414,940","61,483,956","194,960","439,215","178,240","613,695","858,240","5,441,802","3,274,840","10,936,850",
000,Under $1,53160,33610,15020,2740,37650,77380,15320,280,70,210,0,0,1270,22120,-5527677,41700,-5447106,13770,508703,18000,86896,16190,119724,15100,85177,2000,6891,14920,-191833,21010,249898,4600,72431,6270,82000,570,560,3707,0,0,10590,-957818,12360,80571,50,11,80,892,2470,20575,200,1108,2530,3375,2390,8823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,4576,230,3227,540,199,100,103,0,0,0,0,0,0,0,0,110,70,0,0,6820,20926,3240,20290,3470,17998,20,8,24830,175713,4980,5923,3330,3864,2500,4033,3670,3687,2530,3567,650,4116,8540,30768,470,768,0,0,4600,9861,20520,117252,
000,"$1 under $10,000",622080,526120,38520,50630,354190,501710,103770,19450,8260,11190,3360,520,58760,101230,3138876,622080,3246380,460520,2386174,95740,48557,81230,98055,75370,65579,5780,3478,88530,398481,67470,30606,25640,97951,51280,229452,490,13230,49108,1560,7027,7900,-13272,100570,107504,1240,276,110,560,3930,16594,1180,4221,12460,13567,9020,29536,130,39,36860,615769,196072,7370,13621,23050,10169,29360,213131,35390,240035,15390,94992,20150,19318,88850,162717,77730,16434,0,0,2510,887,6620,682,4860,155,0,0,1020,372,0,0,0,0,0,0,79960,64148,10220,47492,10620,44103,950,225,512940,443784,163950,179312,138310,150671,48920,33590,26440,23687,7460,5913,76060,15843,158700,82248,0,0,40,370,68540,32451,475050,389308,
000,"$10,000 under $25,000",823350,503970,111030,195450,505070,1327890,463150,24590,10410,14180,3110,2100,159390,165210,14066740,823350,14327157,651490,10568497,127010,105975,86980,198182,79780,131220,20350,10312,127840,1280688,66720,90658,54840,383382,112090,1173653,620,63070,318287,63990,124100,15570,58410,171150,260417,6080,1403,560,3841,8730,39579,5210,18077,44190,48819,5510,15118,170,148,97190,1607278,1736612,33730,36469,54560,30674,75100,516718,95830,595159,43240,257565,65010,97186,528210,3427102,522120,362589,250,1343,14220,5023,152030,59430,8240,433,10350,3447,55250,34490,40910,6911,42320,13569,1770,404,115380,207632,37890,153518,38430,147094,69840,20377,766700,2288203,284830,906724,247250,784571,215740,286378,63630,56362,22300,15521,419770,303168,524900,537112,20,9,20,14,81250,94209,707470,1837427,
000,"$25,000 under $50,000",892640,485020,187020,196980,548540,1604870,533400,17930,7480,10440,1140,1340,151250,186900,32537070,892640,33031855,766770,26300209,188320,167650,123050,347904,113410,240056,85770,40817,101520,1216234,94160,174877,70790,720879,143710,2372979,1020,62200,416789,138940,1033760,26300,201614,212540,494785,19760,4761,1680,15354,14230,87088,15650,65399,104970,131167,5900,14971,390,517,225170,3920855,8588268,147020,204030,70560,56820,167000,1143285,224150,1438207,119430,746177,170630,338092,850240,16984646,844210,2110299,80,175,30080,21274,332020,302109,22400,2212,46550,28628,86690,96215,84080,14950,173070,155644,10060,3447,80220,222798,41660,169201,45890,185197,76070,31520,867260,3853421,176040,360865,141360,288075,140440,197395,65990,60574,14310,12991,708440,1808203,755810,2078352,150,139,130,240,124820,216766,750850,1962744,
